"sf","sm","hf","hm","r","sI"
0.05,0.05,0.25,0.25,0.442,0.012630213594973791562336507321243311103096425325273
0.05,0.05,0.25,0.25,0.444,0.012631240358829911516668030802443705032014131809783
0.05,0.05,0.25,0.25,0.446,0.012632257995647054108085475461834372559407057578789
0.05,0.05,0.25,0.25,0.448,0.012633266626580060818634719551134969471011111735713
0.05,0.05,0.25,0.25,0.45,0.012634266370648965751419292781555233706321302239684
0.05,0.05,0.25,0.25,0.452,0.012635257344785808242369307595727308636947651720313
0.05,0.05,0.25,0.25,0.454,0.012636239663880219071417455138452328138937727027282
0.05,0.05,0.25,0.25,0.456,0.01263721344082381759297474190473304909193460138184
0.05,0.05,0.25,0.25,0.458,0.01263817878655345581336889091729922777238374154364
0.05,0.05,0.25,0.25,0.46,0.012639135810093344200797127061303738478202521662797
0.05,0.05,0.25,0.25,0.462,0.012640084618596092819201961659403239389963601930718
0.05,0.05,0.25,0.25,0.464,0.012641025317382700229254196999497261372419790462309
0.05,0.05,0.25,0.25,0.466,0.012641958009981521495368197890277521639710535470405
0.05,0.05,0.25,0.25,0.468,0.012642882798166245575518060446123712760259778051505
0.05,0.05,0.25,0.25,0.47,0.012643799781992911348793602373311821267543387004173
0.05,0.05,0.25,0.25,0.472,0.012644709059835990552438120620286512498325110414007
0.05,0.05,0.25,0.25,0.474,0.012645610728423564953929571416777432403569524373452
0.05,0.05,0.25,0.25,0.476,0.012646504882871624172961232088539122458934952665219
0.05,0.05,0.25,0.25,0.478,0.012647391616717509691475372980435941285595660369989
0.05,0.05,0.25,0.25,0.48,0.012648271021952529745799244593230585744900896867639
0.05,0.05,0.25,0.25,0.482,0.01264914318905376898208558537152336650516762737358
0.05,0.05,0.25,0.25,0.484,0.012650008207015115973389142155423913470507493478074
0.05,0.05,0.25,0.25,0.486,0.012650866163377530942593118008232702798814366803314
0.05,0.05,0.25,0.25,0.488,0.012651717144258575308866454638184883832861757992061
0.05,0.05,0.25,0.25,0.49,0.012652561234381223975267880524016968679180417175805
0.05,0.05,0.25,0.25,0.492,0.012653398517101980600448683881357386530726176648627
0.05,0.05,0.25,0.25,0.494,0.012654229074438315447123300311555013199628763077674
0.05,0.05,0.25,0.25,0.496,0.01265505298709544477310000131133364422427645825082
0.05,0.05,0.25,0.25,0.498,0.012655870334492470126260914863605355226588818939504
