"sf","sm","hf","hm","r","Xm","Xf","Y"
0.05,0.05,0.25,0.25,0.152,0.498203976217164925079133954583018187346997543393,0.4855789938300168244037348023517100086290999829636,0.52768884117121014233350755498514123942107495968507
0.05,0.05,0.25,0.25,0.154,0.4983635267743742348882590996762440850571480929387,0.4857362983463024594064816915913025989357661726152,0.52729641723752055063414897696811403491437189106874
0.05,0.05,0.25,0.25,0.156,0.4985187391374509230296482800481974323257110894065,0.4858893280661920246382442221132207376981528725337,0.52691384796756572348396631815703424992279700492183
0.05,0.05,0.25,0.25,0.158,0.4986697864270830292763090525398054206573364335612,0.4860382534883421110439092931036584288623108638261,0.52654076742297557431444190576827928784512685445546
0.05,0.05,0.25,0.25,0.16,0.4988168327375352455559724775542535037684610074412,0.486183236226479826834220180462525110614678042013,0.52617682752932294862671049960221664133729950804205
0.05,0.05,0.25,0.25,0.162,0.4989600337138133071032402078548472303479367461364,0.4863244295772140668622592356737584516207087908697,0.52582169700116295362948132821646511609032825413094
0.05,0.05,0.25,0.25,0.164,0.4990995370853377791483425386151161402580658790647,0.486461979045084056692900385841401830558498897431,0.52547506034363053498034540334812604337820344741974
0.05,0.05,0.25,0.25,0.166,0.4992354831598849336901027175494376421717109910192,0.4865960228285379700211466454895722254694599352298,0.52513661692432144145576410598884337246842325208406
0.05,0.05,0.25,0.25,0.168,0.4993680052811874714676692124361387329370630485884,0.4867266922701759772053484031766028940347139247478,0.52480608010976159102517501086125544241260145668456
0.05,0.05,0.25,0.25,0.17,0.4994972302532621430525568643407599424036302428766,0.4868541122742721600744161620169332272437047593113,0.52448317646129024137612165504996986939749152060117
0.05,0.05,0.25,0.25,0.172,0.4996232787342402445750999141453950617199128747493,0.4869784016943037955955554097239348310756096400055,0.52416764498564996468167194838530458607027512780236
0.05,0.05,0.25,0.25,0.174,0.4997462656022164807779727866068643247700195458871,0.4870996736929606170179172174753625477853259082343,0.52385923643599710368316722406690067652017946215609
0.05,0.05,0.25,0.25,0.176,0.4998663002953982813099807870552075677259845905828,0.4872180360768773521338894745990067649517496007322,0.52355771265942530785479942496386381524184239136706
0.05,0.05,0.25,0.25,0.178,0.4999834871286282447415992039170762312718476992512,0.4873335916081270911122186590054425580847679069709,0.52326284598743646120358100403636691332134504743086
0.05,0.05,0.25,0.25,0.18,0.50009792558816426801021832000014950026416627213515,0.487446438294328200457920610054782271886109166076,0.52297441866610182608440164223350877232934857964223
0.05,0.05,0.25,0.25,0.182,0.50020971060643272578721567203145933656386395294474,0.4875566696590512478371874472578958956330602254778,0.5226922223229350799976892073387242741714457677221
0.05,0.05,0.25,0.25,0.184,0.50031893281831770982019520877288321112016054820566,0.487664374994062688437729745593962899283003534248,0.52241605746775124436055599137504018933336298247625
0.05,0.05,0.25,0.25,0.186,0.50042567880041198698241684306176142729656068186695,0.4877696395948070852832381691269473880531312921844,0.52214573302501406651488715657729029478421652940614
0.05,0.05,0.25,0.25,0.188,0.50053003129453136798553881986528629135754707380574,0.4878725449804078045423434649068771137211304994473,0.52188106589538167506070177646278296394399814238109
0.05,0.05,0.25,0.25,0.19,0.50063206941668216736636347722480349972925374218491,0.4879731690993560393204290824538537819614424779185,0.52162188054434846425554982418919103948035005560456
0.05,0.05,0.25,0.25,0.192,0.50073186885257011591481034989270309617950898201237,0.4880715865219584311351177131993023294352021077515,0.52136800861605211338996946772130891908351272073833
0.05,0.05,0.25,0.25,0.194,0.50082950204064734057200598984418705346697430717145,0.4881678686205233789190030058428349777132563671332,0.52111928857047013594208066896423086278789210271565
0.05,0.05,0.25,0.25,0.196,0.50092503834361086242949073705490543971010086539732,0.4882620837381843773027275635337570496997510962898,0.52087556534237191702046798416216070129054418837235
0.05,0.05,0.25,0.25,0.198,0.50101854420919060073545130863592459597488287593743,0.4883542973471845448761427104583711405651455688414,0.52063669002052120623200846599247069981439276827401
0.05,0.05,0.25,0.25,0.2,0.5011100833209963276881314300724247196127695427762,0.4884445721973791210588175291930525335422154605726,0.52040251954574171013433574389902051104970894734726
0.05,0.05,0.25,0.25,0.202,0.50119971674013069943749463435821106191646388144363,0.4885329684556514437419057200831340226306311139956,0.52017291642656586762174739209248999151307698338368
0.05,0.05,0.25,0.25,0.204,0.50128750303821877328693497370507760868607354049811,0.4886195438368821602023008383176969795339201221167,0.51994774847128507185176935698924277084231430911826
0.05,0.05,0.25,0.25,0.206,0.50137349842245275680362419305738644374490381187336,0.4887043537270606279761272466711887924892699000398,0.51972688853530940070086330918453834153889336556126
0.05,0.05,0.25,0.25,0.208,0.50145775685320362786197070632580765602012654731643,0.4887874512990811456089141686671361404717631988436,0.51951021428282712088248788094790738507673215330732
0.05,0.05,0.25,0.25,0.21,0.50154033015470827440830934118787933945425372895863,0.4888688876217243821157656338221746237241778554685,0.51929760796182954505668730246465670868467104154803
0.05,0.05,0.25,0.25,0.212,0.50162126811930153419530320211891673468862856192822,0.4889487117622857607885762657101531202272005976806,0.51908895619163588130280999911130186098327611977496
0.05,0.05,0.25,0.25,0.214,0.50170061860562661428000984989675931409616513060387,0.4890269708832772502782010516531565156235378436081,0.51888414976211609133136538663698692336269675717003
0.05,0.05,0.25,0.25,0.216,0.50177842763122452061577302529335767428867282936436,0.4891037103335967121172452557635658954188137815758,0.51868308344386798211059391954210212495734858086843
0.05,0.05,0.25,0.25,0.218,0.50185473945987304495186120418750113381685505250374,0.4891789737345293693628113685543748564586638771246,0.5184856558086582588251981694099086689869165221473
0.05,0.05,0.25,0.25,0.22,0.50192959668401828371290761576760473679282461801713,0.4892528030609188445109230438945844210023025722307,0.51829176905948648362433552834838493222988304356219
0.05,0.05,0.25,0.25,0.222,0.50200304030261637150167799858887557822307601532377,0.4893252387178203402019391265248414947761630588848,0.51810132886967619229582632135659081024645091306383
0.05,0.05,0.25,0.25,0.224,0.50207510979467989321676089836268569193296332090628,0.4893963196129256999522739218275523701255865731446,0.51791424423043916139075917909700417641366830438047
0.05,0.05,0.25,0.25,0.226,0.50214584318880210682498131928744783074065941607661,0.4894660832250291047628549119258000800541273027252,0.51773042730639730047147395221674236251986740702058
0.05,0.05,0.25,0.25,0.228,0.50221527712891249518025958180373612134864669909787,0.4895345656687828694764704252385147600407395526934,0.51754979329858214795112289870753137222346572026967
0.05,0.05,0.25,0.25,0.23,0.50228344693649911788859412404170868026782939264177,0.4896018017559750507523997114429141510173654175324,0.51737226031446472812484793818874198717446311200005
0.05,0.05,0.25,0.25,0.232,0.50235038666951661567127447996061358230038830352673,0.4896678250535442314440560827046070299940154912612,0.51719774924459881160576709428732714809557030502774
0.05,0.05,0.25,0.25,0.234,0.50241612917818340567953221696170738676160785420062,0.4897326679385317818360470984322883148984739502353,0.51702618364548862043428822584607943666617634095199
0.05,0.05,0.25,0.25,0.236,0.50248070615785748423251826522302382004616876768935,0.4897963616501580060121164572626585893688614630877,0.51685748962831792251117766917279462358760665072491
0.05,0.05,0.25,0.25,0.238,0.50254414819916722151848563003161685174373143690384,0.4898589363391957613543644090111521211291513681584,0.51669159575320144040366920159959765381429797715217
0.05,0.05,0.25,0.25,0.24,0.50260648483556149844066974322444932499101857419326,0.4899204211148032999137070196952778643619352440778,0.51652843292864171416901419820478155778644161605696
0.05,0.05,0.25,0.25,0.242,0.50266774458843241506751046462066386296701387097149,0.4899808440889671396287561798301523265122828864389,0.5163679343158951498056487351380402010183613209539
0.05,0.05,0.25,0.25,0.244,0.50272795500995351681189019746414766597721953001898,0.4900402324186956561463992324943712135731592285666,0.51621003523797008479721149188285980658777663201211
0.05,0.05,0.25,0.25,0.246,0.50278714272376696919354795388318259130420913182801,0.4900986123460947241610033679929713576697472671701,0.51605467309299742903141763201817905453925776124008
0.05,0.05,0.25,0.25,0.248,0.50284533346364430175801261857734675263887871818157,0.4901560092364480687289242274423576405919744005048,0.51590178727173090186596013849568519242906312662242
0.05,0.05,0.25,0.25,0.25,0.50290255211023717899912358484577675315551348587838,0.4902124476144169554619465890287750509168819569866,0.5157513190789491836030120167721087974721696374478
0.05,0.05,0.25,0.25,0.252,0.50295882272602708862033037640507275469923089825694,0.4902679511984664023960222899771321123439678397407,0.51560321165854652293892659425023292930607718533822
0.05,0.05,0.25,0.25,0.254,0.5030141685885758174391806319593114982256897906792,0.4903225429336181887366819541062243012581173156887,0.51545740992211157417180661006972281769045579649299
0.05,0.05,0.25,0.25,0.256,0.50306861222217206912525738049700603020569077403159,0.4903762450226245237638226732221157578792639017862,0.51531386048080655516122207078153535358641524989511
0.05,0.05,0.25,0.25,0.258,0.50312217542796352597537763640920382725390343605674,0.4904290789556502838113532308659040602542099819615,0.51517251158037028895492513341233997650132046881829
0.05,0.05,0.25,0.25,0.26,0.50317487931265803270420600535207989939963131086523,0.4904810655385461906603038082119377718016435705718,0.51503331303907938254643723347592148134875338161532
0.05,0.05,0.25,0.25,0.262,0.5032267443158723505007007276724825113740332237329,0.4905322249197901581876612108037449020809933748632,0.5148962161885117640514154296228114147244207615085
0.05,0.05,0.25,0.25,0.264,0.50327779023620206392589193913805247940840447269302,0.4905825766161692457575332083879871908451844947771,0.51476117381696609853397329876351593803201627458878
0.05,0.05,0.25,0.25,0.266,0.50332803625608169372011446334506621171995425244414,0.4906321395372701992029340048160839060984785092842,0.51462814011539928224405637813362480175075392605427
0.05,0.05,0.25,0.25,0.268,0.50337750096549984968992951779284724228452942225908,0.4906809320088424081900890837656458174204968844095,0.51449707062575232061915003712956442179648285274509
0.05,0.05,0.25,0.25,0.27,0.50342620238463032611583690213433866657300678952476,0.4907289717950932392288715885690056882253782353337,0.51436792219154246889040009869773756153345094510232
0.05,0.05,0.25,0.25,0.272,0.50347415798543637604849621987633819794076880404907,0.4907762761199720954342829245591898611546488363968,0.51424065291060659401967944163097093531690352752972
0.05,0.05,0.25,0.25,0.274,0.50352138471230198068690321911413763459624370625829,0.4908228616874961879231214754330561670539509961164,0.51411522208988733844436161534558516955507815774445
0.05,0.05,0.25,0.25,0.276,0.50356789900174073760152358719548682005548617708178,0.4908687447011678615899989818593550107414484452246,0.51399159020215986240372666293991577191506622215515
0.05,0.05,0.25,0.25,0.278,0.50361371680123001018452670296941764537696230689454,0.4909139408825303835271045056465719232038460282378,0.51386971884460274260327739325586336769497064409006
0.05,0.05,0.25,0.25,0.28,0.50365885358721519501766034583089217009052228316598,0.4909584654889063604236572763199842492053925614764,0.51374957069912203844864445476692524588194496332184
0.05,0.05,0.25,0.25,0.282,0.50370332438232635970431635024689960233471228712038,0.491002333330360387993264057836751552536204679513,0.51363110949434262872174527891886012945605430809709
0.05,0.05,0.25,0.25,0.284,0.50374714377184706808843692124542618179060079812806,0.491045558785925138015417769366668189980403781101,0.51351429996918569509317551404804530459072212717912
0.05,0.05,0.25,0.25,0.286,0.50379032591947293067079308062826132181025991991879,0.4910881558191278451284297240502798095113087748287,0.51339910783795570618504466789852830519915353125953
0.05,0.05,0.25,0.25,0.288,0.50383288458239528435750081098909430682078340123674,0.4911301379928520551799670367504109215395611046978,0.51328549975686445728736568031737968768416987841376
0.05,0.05,0.25,0.25,0.29,0.50387483312574340721568063849591639095686258545068,0.4911715184835675296732884195917242517799366897427,0.51317344329192366504387966331877290181095961046601
0.05,0.05,0.25,0.25,0.292,0.50391618453641680122943010868458525394442141131183,0.4912123100949593573577674540988479303924226975552,0.51306290688814132082305940783264458711125114216284
0.05,0.05,0.25,0.25,0.294,0.50395695143633732042662121237286150446693601846623,0.4912525252709855957233740256184240858029765254957,0.5129538598399604871600966565829230202815313034579
0.05,0.05,0.25,0.25,0.296,0.50399714609514927512350534785028365611954453089211,0.4912921761083911441407928568414563244140390166004,0.51284627226288249350114839811900762892171711623022
0.05,0.05,0.25,0.25,0.298,0.50403678044239409795503711319963937785688095239461,0.4913312743687040293074551821495021181989973770634,0.5127401150662195643227412384389437487033599742665
0.05,0.05,0.25,0.25,0.3,0.50407586607918470692565151350106671221732080654171,0.4913698314897388557275774503914697391147484029754,0.51263535992692480735875150334639021262645185570395
0.05,0.05,0.25,0.25,0.302,0.50411441428940333854060725931367777314379762146773,0.4914078585966308328868091067065513441651717756304,0.51253197926445021404574728525268426649124661027073
0.05,0.05,0.25,0.25,0.304,0.50415243605044534424483582536652808896516922484237,0.4914453665124225307572914581156374379121128632688,0.51242994621658588944649594740100113950980468258613
0.05,0.05,0.25,0.25,0.306,0.50418994204353024042018165817526197637718697258796,0.4914823657682243308905207650488227026736879788929,0.51232923461623614509938435890724924267798621849916
0.05,0.05,0.25,0.25,0.308,0.50422694266360017098717742248971985563970950520257,0.4915188666129684266191066619570365580680363042817,0.51222981896909036501330349118459929277706899379465
0.05,0.05,0.25,0.25,0.31,0.50426344802882487750544960053687339928405379366737,0.4915548790227751781512360768383899535988873418291,0.51213167443214870126000948284031167297832293190629
0.05,0.05,0.25,0.25,0.312,0.50429946798973127018737077153245764557459098230305,0.4915904127099496422932921501207607291758116881556,0.51203477679306467956841871950810070722275252031245
0.05,0.05,0.25,0.25,0.314,0.50433501213797475036475851490120183076321173084841,0.4916254771316251681736762694206493803631349464746,0.51193910245026870468612405979407196493576162128825
0.05,0.05,0.25,0.25,0.316,0.5043700898147685468984894363735659793177854931881,0.4916600814980700759449293434809077500728172516074,0.51184462839383825720286560631197814966635144530899
0.05,0.05,0.25,0.25,0.318,0.50440471011898649228211251382089200021277147780585,0.4916942347806726115539622320884756326677530327568,0.51175133218708227470013466776775491259035481700968
0.05,0.05,0.25,0.25,0.32,0.50443888191495387549494192469158110455558380670425,0.4917279457196185940755926891993331201079322940526,0.51165919194880881671923279145211105555356816159162
0.05,0.05,0.25,0.25,0.322,0.50447261383994026496688101483548831360621556132823,0.4917612228312754398101441043528439598896757279454,0.5115681863362466309262520799291331580027306503935
0.05,0.05,0.25,0.25,0.324,0.50450591431136749349563954381647738413814289280407,0.4917940744152955565657625595246229038378474255759,0.51147829452859267240714877932866619417619752195069
0.05,0.05,0.25,0.25,0.326,0.50453879153374533497067647173892086344320751733088,0.4918265085614514496857489583248503967268902328101,0.5113894962111589842994087755546268084515389987936
0.05,0.05,0.25,0.25,0.328,0.50457125350534677785066070769708736662871189611607,0.4918585331562142660229900681611252018472015554604,0.5113017715600936306743432624758257818940930904698
0.05,0.05,0.25,0.25,0.33,0.50460330802463421022263974468564718094235228539379,0.4918901558890869209538510281474814572289173414472,0.51121510122765158613094024391310535903350908613747
0.05,0.05,0.25,0.25,0.332,0.50463496269644727380596862313926274819282426170361,0.4919213842587024045609073268600413274252939223907,0.51112946632799263506526494863754393678059499546062
0.05,0.05,0.25,0.25,0.334,0.50466622493796261746001699769205022272319370469873,0.4919522255786973443367056298247178319343187212231,0.5110448484234844208876323030118568800862524935197
0.05,0.05,0.25,0.25,0.336,0.50469710198443528275210278705443729286193115653277,0.4919826869833704113390072899166408714494394037687,0.51096122951148981517319129087698991619284885707914
0.05,0.05,0.25,0.25,0.338,0.50472760089473098320450943657801739563365947022257,0.4920127754331346929525220418925995552404749951384,0.51087859201161875221868630988699859596888922320966
0.05,0.05,0.25,0.25,0.34,0.50475772855665809334466066372717331509599724740993,0.492042497719772716686309023942682799093745495137,0.51079691875342559889215338659760153050133456348892
0.05,0.05,0.25,0.25,0.342,0.50478749169210774211454944003274627748726717319611,0.4920718604715023942676069236208784419627481443105,0.5107161929645340059558927229107016691809167487391
0.05,0.05,0.25,0.25,0.344,0.50481689686201000613698635048894297775467136192345,0.4921008701578617622867224600893081729538660445632,0.51063639825917201798233500689240135662319901176244
0.05,0.05,0.25,0.25,0.346,0.5048459504711138204614757501965738088541536754888,0.4921295330944200234988538372673436974173691598378,0.51055751862710100715965542093156487802708282641852
0.05,0.05,0.25,0.25,0.348,0.50487465877259786648114086123371740322795101415394,0.4921578554473220403763591320822543241733268280377,0.51047953842292274412946618685516914985510066315925
