"sf","sm","hf","hm","r","Xm","Xf","Y"
0.05263157894736842,0.05,0.5,0.5,0.168,0.2481316924544408602964960386609823482954290105105,0.2383196179858501258608300939735218172280748305682,0.2682808899711094209574275043583609358365433247443
0.05263157894736842,0.05,0.5,0.5,0.17,0.2460919906060487393503896528816752349237134935661,0.2363362381368502391476959035219776251801866481818,0.2657684526506235122155024076608331297377071229347
0.05263157894736842,0.05,0.5,0.5,0.172,0.2440588059637583068204117944964370566006692137267,0.2343596069591579314308418649774154701992957393177,0.2632744895953630801172013878919377085903939098561
0.05263157894736842,0.05,0.5,0.5,0.174,0.2420322381557609331636138670927947841524243840491,0.2323898170749595079593141322212842085654379057662,0.2607987092822958445082258351300222789401711228698
0.05263157894736842,0.05,0.5,0.5,0.176,0.2400123791294513529745291102077687519133531712879,0.2304269535811034898699102237574705152865586850262,0.2583408296576549870300007519832682992026093795512
0.05263157894736842,0.05,0.5,0.5,0.178,0.2379993136154736613209644023085821719747688273536,0.2284710945083122503885103883863481840813434094822,0.2559005776560119550852042614641915322652525720042
0.05263157894736842,0.05,0.5,0.5,0.18,0.2359931195606800556746512597512237362513842556236,0.2265223112495601872692815100722980219364743143701,0.2534776887504398127307184899277019780635256856299
0.05263157894736842,0.05,0.5,0.5,0.182,0.2339938685323738261289632317681531256501909806063,0.2245806689599704417667605857363163432739191222302,0.2510719065314122630178331096447688690533418346914
0.05263157894736842,0.05,0.5,0.5,0.184,0.2320016260960042378807952581354260345060146642784,0.2226462269303801400783545355811199168520875680034,0.2486829823122855201328727700577006208272599806443
0.05263157894736842,0.05,0.5,0.5,0.186,0.2300164521682965654568176108127918184867451638614,0.2207190389365413810866412965001798486149048676793,0.2463106747593929816951420028270521437420095739889
0.05263157894736842,0.05,0.5,0.5,0.188,0.2280384013476335852997350565219439720533427491426,0.2187991535657597038656330913102041534404687523709,0.2439547495449481622205909991063663364090202694428
0.05263157894736842,0.05,0.5,0.5,0.19,0.2260675232233535024223721175046508655502758768966,0.2168866145226217494549276342174500894797903801587,0.2416149790211013883689978156043123676612805131038
